SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
943,HNRNPA3,HNRNPF,0.466,0.297,0.605,0.899,Multiple Sclerosis,1263121,220988,3185,128670,109426,Co-fractionation,26344197,Wan C (2015)
944,STAT3,STAT6,0.163,0.101,0.577,0.899,Amyotrophic Lateral Sclerosis (ALS),469035,6774,6778,112651,112655,Two-hybrid,20211142,Ravasi T (2010)
945,SIAH2,SNCA,0.109,0.743,0.222,0.899,Parkinson's,480223,6478,6622,112373,112506,Biochemical Activity,15064394,Liani E (2004)
946,PARL,OPA1,0.096,0.127,0.883,0.899,Parkinson's,2789946,55486,4976,120678,111024,Proximity Label-MS,31617661,Botham A (2019)
947,VAPA,OSBPL3,0.042,0.617,0.746,0.899,Multiple Sclerosis,1452656,9218,26031,114651,117497,Affinity Capture-MS,26496610,Hein MY (2015)
948,MAPT,YWHAB,0,0.803,0.507,0.899,Parkinson's,315882,4137,7529,110308,113361,Affinity Capture-Western,10840038,Hashiguchi M (2000)
949,SNRNP70,U2AF1,0.529,0.227,0.748,0.9,Multiple Sclerosis,2638713,6625,7307,112509,113157,Affinity Capture-MS,29802200,Bishof I (2018)
950,TP53,YWHAE,0.246,0.453,0.574,0.9,Parkinson's,955544,7157,7531,113010,113363,Affinity Capture-MS,23443559,Fogeron ML (2013)
951,FUS,RBMX,0.166,0.632,0.523,0.9,Multiple Sclerosis,893030,2521,27316,108797,118134,Two-hybrid,21988832,Wang J (2011)
952,DNM1L,VPS35,0.155,0.292,0.846,0.9,Parkinson's,3197969,10059,55737,115370,120855,Affinity Capture-Western,26618722,Wang W (2016)
953,CSF2RB,JAK1,0.108,0.629,0.239,0.9,Amyotrophic Lateral Sclerosis (ALS),574119,1439,3716,107826,109919,Affinity Capture-Western,21965659,Lei JT (2011)
954,UCHL1,HSP90AA1,0.085,0.636,0.725,0.9,Parkinson's,682306,7345,3320,113192,109552,Affinity Capture-Western,18550537,Kabuta T (2008)
955,SMN1,SNRNP70,0.056,0.837,0.405,0.9,Multiple Sclerosis,566537,6606,6625,112490,112509,Affinity Capture-MS,19928837,Fuller HR (2010)
956,MFN1,LRRK2,0.054,0.51,0.802,0.9,Parkinson's,2655784,55669,120892,120801,125700,Affinity Capture-Western,24282027,Stafa K (2014)
957,IFNG,STAT6,0.054,0.292,0.863,0.9,Amyotrophic Lateral Sclerosis (ALS),799434,3458,6778,109680,112655,Reconstituted Complex,9651359,Mikita T (1998)
958,EWSR1,HNRNPM,0.831,0.204,0.328,0.901,Multiple Sclerosis,2644297,2130,4670,108431,110751,Affinity Capture-MS,29884807,Chi B (2018)
959,HNRNPM,TARDBP,0.777,0.226,0.473,0.901,Multiple Sclerosis,3445351,4670,23435,110751,117003,Co-fractionation,35831314,Havugimana PC (2022)
960,ELAVL1,HNRNPL,0.667,0.396,0.546,0.901,Multiple Sclerosis,664110,1994,3191,108309,109432,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
961,HNRNPU,ILF3,0.659,0.324,0.607,0.901,Multiple Sclerosis,1445063,3192,3609,109433,109822,Affinity Capture-MS,26496610,Hein MY (2015)
962,DHX9,HNRNPL,0.658,0.204,0.665,0.901,Multiple Sclerosis,3354188,1660,3191,108025,109432,Affinity Capture-MS,35271311,Cho NH (2022)
963,HNRNPH1,HNRNPH2,0.083,0.743,0.381,0.901,Multiple Sclerosis,424884,3187,3188,109428,109429,Affinity Capture-MS,17643375,Jeronimo C (2007)
964,LRRK2,YWHAE,0.082,0.808,0.484,0.901,Parkinson's,722613,120892,7531,125700,113363,Affinity Capture-MS,20642453,Nichols RJ (2010)
965,HTT,VCP,0.059,0.807,0.5,0.901,Parkinson's,558669,3064,7415,109314,113258,Reconstituted Complex,20126661,Yang H (2010)
966,FGF1,HSPG2,0.049,0.384,0.844,0.901,Alzheimers,3185426,2246,3339,108537,109571,Affinity Capture-MS,33961781,Huttlin EL (2021)
967,PMPCB,FXN,0.049,0.354,0.765,0.901,Friedreich ataxia,277919,9512,2395,114889,108677,Two-hybrid,9700204,Koutnikova H (1998)
968,ATXN2,FMR1,0.049,0.259,0.871,0.901,Parkinson's,2817728,6311,2332,112218,108619,Proximity Label-MS,29395067,Youn JY (2018)
969,GSN,VDAC1,0.047,0.51,0.806,0.901,Alzheimers,278861,2934,7416,109189,113259,Affinity Capture-Western,11039896,Kusano H (2000)
970,APP,TOMM40,0.042,0.071,0.898,0.901,Alzheimers,2690578,351,10452,106848,115716,Affinity Capture-MS,25959826,Hosp F (2015)
971,SQSTM1,TP53,0,0.776,0.579,0.901,Parkinson's,1520534,8878,7157,114397,113010,Affinity Capture-Western,27031960,Kang JH (2016)
972,VAPA,PITPNM1,0,0.742,0.633,0.901,Multiple Sclerosis,1449533,9218,9600,114651,114965,Affinity Capture-MS,26496610,Hein MY (2015)
973,ALB,APP,0,0.292,0.787,0.901,Alzheimers,739568,213,351,106715,106848,Reconstituted Complex,21832049,Olah J (2011)
974,IFNA21,IFNA4,0.716,0.469,0.046,0.902,Amyotrophic Lateral Sclerosis (ALS),2216341,3452,3441,109674,109664,Affinity Capture-MS,28514442,Huttlin EL (2017)
975,APOA1,FGA,0.452,0.428,0.544,0.902,Alzheimers,825506,335,2243,106832,108534,Affinity Capture-MS,15174051,Zhou M (2004)
976,FUS,EIF4A3,0.126,0.348,0.842,0.902,Multiple Sclerosis,2644258,2521,9775,108797,115119,Affinity Capture-MS,29884807,Chi B (2018)
977,NBR1,TAX1BP1,0.092,0.438,0.823,0.902,Multiple Sclerosis,3012995,4077,8887,110253,114405,Affinity Capture-Western,33226137,Ohnstad AE (2020)
978,CTSB,APP,0.091,0,0.897,0.902,Alzheimers,738689,1508,351,107888,106848,Reconstituted Complex,21832049,Olah J (2011)
979,IL4R,TYK2,0.067,0.22,0.662,0.902,Amyotrophic Lateral Sclerosis (ALS),2235223,3566,7297,109780,113148,Affinity Capture-MS,28514442,Huttlin EL (2017)
980,IFNG,ICAM1,0.061,0.164,0.885,0.902,Amyotrophic Lateral Sclerosis (ALS),3193761,3458,3383,109680,109610,Affinity Capture-MS,33961781,Huttlin EL (2021)
981,HNRNPA1,SSB,0.694,0.125,0.669,0.903,Multiple Sclerosis,1241532,3178,6741,109420,112619,Affinity Capture-MS,25324306,Roy R (2014)
982,HNRNPL,TRA2B,0.669,0.202,0.463,0.903,Multiple Sclerosis,3358450,3191,6434,109432,112332,Affinity Capture-MS,35271311,Cho NH (2022)
983,CPSF6,SRSF1,0.65,0.21,0.389,0.904,Multiple Sclerosis,3352448,11052,6426,116238,112324,Affinity Capture-MS,35271311,Cho NH (2022)
984,TARDBP,PABPC1,0.255,0.409,0.799,0.904,Multiple Sclerosis,905053,23435,26986,117003,117939,Affinity Capture-Western,20020773,Freibaum BD (2010)
985,HSCB,SDHAF1,0.042,0.625,0.755,0.904,Friedreich ataxia,2811507,150274,644096,127276,569311,Affinity Capture-MS,28380382,Maio N (2017)
986,SNCA,PSMC3,0,0.537,0.456,0.904,Multiple Sclerosis,724192,6622,5702,112506,111675,Affinity Capture-Western,12551928,Snyder H (2003)
987,PCBP1,HNRNPR,0.667,0.13,0.52,0.905,Multiple Sclerosis,2471482,5093,10236,111126,115530,Affinity Capture-MS,27684187,Rosenbluh J (2016)
988,HNRNPA0,SRSF3,0.655,0.274,0.653,0.905,Multiple Sclerosis,745007,10949,6428,116149,112326,Co-fractionation,22939629,Havugimana PC (2012)
989,MDH2,SDHA,0.437,0.283,0.773,0.905,Friedreich ataxia,2853401,4191,6389,110356,112290,Proximity Label-MS,32877691,Antonicka H (2020)
990,DLD,IDH3A,0.354,0.126,0.552,0.905,Friedreich ataxia,2361036,1738,3419,108082,109645,Affinity Capture-MS,29128334,Malty RH (2017)
991,HNRNPH1,CELF1,0.247,0.512,0.763,0.905,Multiple Sclerosis,2872688,3187,10658,109428,115901,Affinity Capture-RNA,26760575,Uren PJ (2016)
992,TTR,A2M,0.133,0.069,0.892,0.905,Alzheimers,603108,7276,2,113127,106524,Two-hybrid,21900206,Vinayagam A (2011)
993,A2M,APP,0.104,0.292,0.863,0.905,Alzheimers,740092,2,351,106524,106848,Two-hybrid,21163940,Soler-Lopez M (2011)
994,APP,KLC2,0.103,0.07,0.896,0.905,Alzheimers,1279058,351,64837,106848,122313,Reconstituted Complex,21244100,Virok DP (2011)
995,APP,GSAP,0.045,0.474,0.827,0.905,Alzheimers,1105188,351,54103,106848,119901,Affinity Capture-Western,20811458,He G (2010)
996,HNRNPR,SRSF3,0.748,0.128,0.375,0.906,Multiple Sclerosis,3052301,10236,6428,115530,112326,Affinity Capture-MS,33961781,Huttlin EL (2021)
997,HNRNPH1,PCBP1,0.664,0.101,0.545,0.906,Multiple Sclerosis,3442101,3187,5093,109428,111126,Co-fractionation,35831314,Havugimana PC (2022)
998,HSP90AB1,VCP,0.228,0.234,0.722,0.906,Parkinson's,2625025,3326,7415,109558,113258,Co-fractionation,31536960,Moutaoufik MT (2019)
999,PSMD14,VCP,0.222,0.541,0.537,0.906,Multiple Sclerosis,3404110,10213,7415,115508,113258,Affinity Capture-MS,35530310,Gubat J (2022)
1000,IFNAR1,STAT3,0.11,0.294,0.862,0.906,Amyotrophic Lateral Sclerosis (ALS),305019,3454,6774,109676,112651,Affinity Capture-Western,8626489,Yang CH (1996)
1001,HNRNPR,SMN1,0.109,0.625,0.742,0.906,Multiple Sclerosis,280927,10236,6606,115530,112490,Reconstituted Complex,11574476,Mourelatos Z (2001)
1002,S100B,MAPT,0.099,0.517,0.802,0.906,Alzheimers,289201,6285,4137,112193,110308,Reconstituted Complex,11264299,Yu WH (2001)
1003,ABCB7,FECH,0.085,0.314,0.862,0.906,Friedreich ataxia,283321,22,2235,106540,108526,Reconstituted Complex,12480705,Taketani S (2003)
1004,JAK3,TYK2,0.085,0.292,0.864,0.906,Amyotrophic Lateral Sclerosis (ALS),854499,3718,7297,109921,113148,Affinity Capture-Western,12207328,Doucet C (2002)
1005,LRRK2,YWHAG,0.082,0.802,0.525,0.906,Parkinson's,722619,120892,7532,125700,113364,Affinity Capture-MS,20642453,Nichols RJ (2010)
1006,CRP,APCS,0.783,0.292,0.429,0.907,Alzheimers,303121,1401,325,107791,106822,Reconstituted Complex,8144569,Christner RB (1994)
1007,SNRNP70,TRA2B,0.678,0.425,0.541,0.907,Multiple Sclerosis,2255220,6625,6434,112509,112332,Affinity Capture-MS,28514442,Huttlin EL (2017)
1008,HSCB,NFS1,0.054,0.407,0.781,0.907,Friedreich ataxia,2812176,150274,9054,127276,114516,Affinity Capture-MS,28380382,Maio N (2017)
1009,CASP3,GSN,0.042,0.378,0.454,0.907,Alzheimers,904390,836,2934,107286,109189,Biochemical Activity,18723680,Walsh JG (2008)
1010,ERBB4,TAB2,0,0.292,0.759,0.907,Multiple Sclerosis,675601,2066,23118,108378,116740,Two-hybrid,17018285,Sardi SP (2006)
1011,HNRNPA1,HNRNPA0,0.707,0.498,0.407,0.908,Multiple Sclerosis,1241476,3178,10949,109420,116149,Affinity Capture-MS,25324306,Roy R (2014)
1012,HNRNPA1,U2AF2,0.663,0.413,0.575,0.908,Multiple Sclerosis,2990434,3178,11338,109420,116466,Proximity Label-MS,34079125,Go CD (2021)
1013,TARDBP,U2AF2,0.663,0.321,0.63,0.908,Multiple Sclerosis,746039,23435,11338,117003,116466,Co-fractionation,22939629,Havugimana PC (2012)
1014,IFNA1,IFNA14,0.337,0.784,0.047,0.908,Amyotrophic Lateral Sclerosis (ALS),2221265,3439,3448,109662,109671,Affinity Capture-MS,28514442,Huttlin EL (2017)
1015,EIF4A3,SRSF7,0.27,0.669,0.328,0.908,Multiple Sclerosis,811295,9775,6432,115119,112330,Affinity Capture-MS,23084401,Singh G (2012)
1016,CASP3,APP,0.06,0.603,0.774,0.908,Alzheimers,1504592,836,351,107286,106848,Co-localization,25241761,Chen TC (2014)
1017,VAPA,ACBD4,0,0.329,0.869,0.908,Multiple Sclerosis,1456038,9218,79777,114651,122878,Affinity Capture-MS,26496610,Hein MY (2015)
1018,RBM14,HNRNPK,0.663,0.422,0.573,0.909,Multiple Sclerosis,2496602,10432,3190,115700,109431,Two-hybrid,26871637,Yang X (2016)
1019,DHX9,HNRNPR,0.641,0.429,0.593,0.909,Multiple Sclerosis,1263201,1660,10236,108025,115530,Co-fractionation,26344197,Wan C (2015)
1020,HNRNPA2B1,HNRNPDL,0.45,0.67,0.492,0.909,Multiple Sclerosis,1263103,3181,9987,109422,115308,Co-fractionation,26344197,Wan C (2015)
1021,HSP90AA1,DYNC1H1,0.072,0.214,0.454,0.909,Multiple Sclerosis,818851,3320,1778,109552,108117,Affinity Capture-MS,19875381,Gano JJ (2010)
1022,ABL1,TP53,0.056,0.292,0.875,0.909,Parkinson's,275304,25,7157,106543,113010,Reconstituted Complex,10629029,Nie Y (2000)
1023,NBR1,RB1CC1,0.049,0.41,0.85,0.909,Multiple Sclerosis,3306534,4077,9821,110253,115160,Proximity Label-MS,33545068,Zellner S (2021)
1024,SPATA2,TRADD,0,0.625,0.556,0.909,Multiple Sclerosis,2494197,9825,8717,115163,114257,Affinity Capture-MS,27307491,Wagner SA (2016)
1025,PSMD2,VCP,0.63,0.267,0.417,0.91,Multiple Sclerosis,3364829,5708,7415,111681,113258,Affinity Capture-MS,35271311,Cho NH (2022)
1026,YWHAG,YWHAQ,0.267,0.627,0.414,0.91,Parkinson's,3094297,7532,10971,113364,116168,Affinity Capture-MS,33961781,Huttlin EL (2021)
1027,HNRNPA1,SRSF9,0.263,0.29,0.748,0.91,Multiple Sclerosis,2990427,3178,8683,109420,114231,Proximity Label-MS,34079125,Go CD (2021)
1028,TBK1,NFKBIA,0.048,0.537,0.812,0.91,Multiple Sclerosis,724047,29110,4792,118878,110859,Biochemical Activity,20449947,Zhang W (2010)
1029,BRAF,PRKCE,0.047,0.533,0.493,0.91,Parkinson's,828861,673,5581,107141,111567,Affinity Capture-Western,16810323,Pardo OE (2006)
1030,FUS,MATR3,0,0.323,0.873,0.91,Multiple Sclerosis,2644166,2521,9782,108797,115126,Affinity Capture-MS,29884807,Chi B (2018)
1031,CS,DLD,0.371,0.247,0.648,0.911,Friedreich ataxia,2628392,1431,1738,107818,108082,Co-fractionation,31536960,Moutaoufik MT (2019)
1032,DCTN2,DYNC1LI1,0.145,0.602,0.541,0.911,Multiple Sclerosis,2985359,10540,51143,115794,119327,Proximity Label-MS,34079125,Go CD (2021)
1033,YWHAH,YWHAQ,0.122,0.791,0.132,0.911,Parkinson's,1451102,7533,10971,113365,116168,Affinity Capture-MS,26496610,Hein MY (2015)
1034,MATR3,HNRNPH1,0.081,0.432,0.843,0.911,Multiple Sclerosis,1444892,9782,3187,115126,109428,Affinity Capture-MS,26496610,Hein MY (2015)
1035,NDUFC2,NDUFAF4,0.055,0.599,0.261,0.911,Alzheimers,3115013,4718,29078,110798,118848,Affinity Capture-MS,33961781,Huttlin EL (2021)
1036,GSK3A,MAPT,0,0.749,0.659,0.911,Alzheimers,724059,2931,4137,109186,110308,Biochemical Activity,7931292,Yang SD (1994)
1037,LPL,VLDLR,0,0.292,0.749,0.911,Alzheimers,302977,4023,7436,110205,113277,Reconstituted Complex,7592875,Argraves KM (1995)
1038,ALB,APOC3,0.661,0.077,0.744,0.912,Alzheimers,825566,213,345,106715,106842,Affinity Capture-MS,15174051,Zhou M (2004)
1039,SNRNP70,SRSF3,0.645,0.691,0.266,0.912,Multiple Sclerosis,1272589,6625,6428,112509,112326,Co-fractionation,26344197,Wan C (2015)
1040,HNRNPA3,HNRNPU,0.488,0.214,0.679,0.912,Multiple Sclerosis,3445307,220988,3192,128670,109433,Co-fractionation,35831314,Havugimana PC (2022)
1041,BIRC2,TAX1BP1,0.246,0.231,0.734,0.912,Multiple Sclerosis,2603851,329,8887,106826,114405,Affinity Capture-MS,30561431,Van Quickelberghe E (2018)
1042,APOF,APOA1,0.127,0.287,0.729,0.912,Alzheimers,277030,319,335,106816,106832,Co-purification,6816269,Koren E (1982)
1043,HNRNPA2B1,SYNCRIP,0.778,0.254,0.521,0.913,Multiple Sclerosis,3358296,3181,10492,109422,115755,Affinity Capture-MS,35271311,Cho NH (2022)
1044,HNRNPH1,SFPQ,0.75,0.421,0.448,0.913,Multiple Sclerosis,2873267,3187,6421,109428,112319,Affinity Capture-RNA,26760575,Uren PJ (2016)
1045,HNRNPM,NONO,0.561,0.214,0.769,0.913,Multiple Sclerosis,744775,4670,4841,110751,110904,Co-fractionation,22939629,Havugimana PC (2012)
1046,PCBP1,HNRNPA3,0.469,0.224,0.69,0.913,Multiple Sclerosis,2473261,5093,220988,111126,128670,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1047,CELF1,PTBP1,0.281,0.194,0.862,0.913,Multiple Sclerosis,2812577,10658,5725,115901,111697,Proximity Label-MS,29395067,Youn JY (2018)
1048,MAP1LC3B,PINK1,0.187,0.51,0.799,0.913,Parkinson's,2635263,81631,65018,123565,122376,Affinity Capture-Western,30907226,Park JS (2020)
1049,DAP3,RPS9,0.109,0.9,0.102,0.913,Friedreich ataxia,3065960,7818,6203,113587,112117,Affinity Capture-MS,33961781,Huttlin EL (2021)
1050,TARDBP,RBMX,0.772,0.208,0.562,0.914,Multiple Sclerosis,913314,23435,27316,117003,118134,Affinity Capture-MS,20020773,Freibaum BD (2010)
1051,HNRNPH1,RBM14,0.669,0.442,0.575,0.914,Multiple Sclerosis,752421,3187,10432,109428,115700,Co-fractionation,22939629,Havugimana PC (2012)
1052,ILF3,SYNCRIP,0.547,0.478,0.667,0.914,Multiple Sclerosis,2814443,3609,10492,109822,115755,Proximity Label-MS,29395067,Youn JY (2018)
1053,RB1CC1,SQSTM1,0.049,0.41,0.859,0.914,Multiple Sclerosis,2635296,9821,8878,115160,114397,Reconstituted Complex,30853400,Turco E (2019)
1054,G3BP1,HDAC6,0.042,0.609,0.789,0.914,Multiple Sclerosis,513977,10146,10013,115448,115330,Reconstituted Complex,18079183,Kwon S (2007)
1055,GSK3B,CACYBP,0.042,0,0.182,0.914,Alzheimers,3444752,2932,27101,109187,118001,Co-fractionation,35831314,Havugimana PC (2022)
1056,BAD,SFN,0,0.817,0.133,0.914,Parkinson's,119512,572,2810,107048,109072,Two-hybrid,16189514,Rual JF (2005)
1057,ELAVL1,ILF3,0.733,0.305,0.583,0.915,Multiple Sclerosis,2813537,1994,3609,108309,109822,Proximity Label-MS,29395067,Youn JY (2018)
1058,HSPA4,HSPA5,0.154,0.412,0.663,0.915,Multiple Sclerosis,3358570,3308,3309,109540,109541,Affinity Capture-MS,35271311,Cho NH (2022)
1059,HNRNPH2,ILF3,0.096,0.49,0.832,0.915,Multiple Sclerosis,828386,3188,3609,109429,109822,Two-hybrid,22365833,Hegele A (2012)
1060,HSPA4,UBQLN2,0.09,0.631,0.767,0.915,Multiple Sclerosis,3308229,3308,29978,109540,119006,Affinity Capture-Western,33991504,Zhang K (2021)
1061,DCTN1,PLK1,0.082,0.329,0.397,0.915,Multiple Sclerosis,2985279,1639,5347,108007,111362,Proximity Label-MS,34079125,Go CD (2021)
1062,CSNK1D,YWHAH,0.043,0.159,0.082,0.916,Parkinson's,3482243,1453,7533,107837,113365,Affinity Capture-MS,32707033,Buljan M (2020)
1063,SYNCRIP,SRSF1,0.775,0.214,0.569,0.917,Multiple Sclerosis,744640,10492,6426,115755,112324,Co-fractionation,22939629,Havugimana PC (2012)
1064,ELAVL1,SRSF1,0.725,0.047,0.709,0.917,Multiple Sclerosis,664080,1994,6426,108309,112324,Affinity Capture-RNA,19322201,Abdelmohsen K (2009)
1065,SRSF7,U2AF1,0.425,0.261,0.658,0.917,Multiple Sclerosis,744020,6432,7307,112330,113157,Co-fractionation,22939629,Havugimana PC (2012)
1066,STAT1,NFKBIA,0.115,0.294,0.877,0.917,Amyotrophic Lateral Sclerosis (ALS),844025,6772,4792,112649,110859,Affinity Capture-Western,16481475,Kraemer OH (2006)
1067,FOXO1,YWHAB,0,0.666,0.543,0.917,Parkinson's,2906106,2308,7529,108597,113361,Affinity Capture-Western,16919273,Yamamoto A (2006)
1068,CRLF2,JAK1,0,0.165,0.739,0.917,Amyotrophic Lateral Sclerosis (ALS),3066738,64109,3716,122066,109919,Affinity Capture-MS,33961781,Huttlin EL (2021)
1069,CCNF,PLK1,0.793,0.292,0.487,0.918,Multiple Sclerosis,3305805,899,5347,107339,111362,Affinity Capture-MS,33729478,Rayner SL (2021)
1070,HNRNPL,SFPQ,0.669,0.205,0.716,0.918,Multiple Sclerosis,746458,3191,6421,109432,112319,Co-fractionation,22939629,Havugimana PC (2012)
1071,HNRNPF,HNRNPR,0.666,0.209,0.547,0.918,Multiple Sclerosis,743263,3185,10236,109426,115530,Co-fractionation,22939629,Havugimana PC (2012)
1072,HNRNPA0,HNRNPF,0.649,0.654,0.381,0.918,Multiple Sclerosis,827718,10949,3185,116149,109426,Two-hybrid,22365833,Hegele A (2012)
1073,HNRNPF,SRSF7,0.504,0.205,0.697,0.918,Multiple Sclerosis,744246,3185,6432,109426,112330,Co-fractionation,22939629,Havugimana PC (2012)
1074,EIF4A3,HNRNPC,0.419,0.692,0.582,0.918,Multiple Sclerosis,811340,9775,3183,115119,109424,Affinity Capture-MS,23084401,Singh G (2012)
1075,IFNA5,IFNA6,0.248,0.83,0.049,0.918,Amyotrophic Lateral Sclerosis (ALS),1197570,3442,3443,109665,109666,Affinity Capture-MS,26186194,Huttlin EL (2015)
1076,FUS,HNRNPDL,0.211,0.52,0.801,0.918,Multiple Sclerosis,1263101,2521,9987,108797,115308,Co-fractionation,26344197,Wan C (2015)
1077,SERPINA3,ORM1,0.139,0.232,0.887,0.918,Alzheimers,2950302,12,5004,106530,111046,Affinity Capture-MS,24981860,Marcon E (2014)
1078,APBB1,LRP1,0.08,0.669,0.754,0.918,Alzheimers,303445,322,4035,106819,110215,Reconstituted Complex,9837937,Trommsdorff M (1998)
1079,MAPT,FUS,0,0.295,0.888,0.918,Multiple Sclerosis,2606209,4137,2521,110308,108797,Affinity Capture-MS,26269332,Gunawardana CG (2015)
1080,TARDBP,HNRNPA3,0.666,0.188,0.725,0.919,Multiple Sclerosis,913245,23435,220988,117003,128670,Affinity Capture-MS,20020773,Freibaum BD (2010)
1081,EIF4A3,SRSF2,0.339,0.591,0.472,0.919,Multiple Sclerosis,811291,9775,6427,115119,112325,Affinity Capture-MS,23084401,Singh G (2012)
1082,LRRK2,YWHAQ,0.082,0.873,0.361,0.919,Parkinson's,722612,120892,10971,125700,116168,Affinity Capture-MS,20642453,Nichols RJ (2010)
1083,HSPA9,LYRM4,0.068,0.099,0.912,0.919,Friedreich ataxia,3443232,3313,57128,109545,121391,Co-fractionation,35831314,Havugimana PC (2022)
1084,BAG5,STUB1,0.056,0.538,0.829,0.919,Parkinson's,608543,9529,10273,114905,115563,Reconstituted Complex,21358815,Kalia LV (2011)
1085,HTT,SQSTM1,0,0.661,0.772,0.919,Parkinson's,736388,3064,8878,109314,114397,Affinity Capture-Western,20417604,Filimonenko M (2010)
1086,EWSR1,TARDBP,0.66,0.265,0.708,0.92,Multiple Sclerosis,2644301,2130,23435,108431,117003,Affinity Capture-MS,29884807,Chi B (2018)
1087,DHX9,ELAVL1,0.65,0.424,0.638,0.92,Multiple Sclerosis,3354241,1660,1994,108025,108309,Affinity Capture-MS,35271311,Cho NH (2022)
1088,HNRNPA1,HNRNPDL,0.348,0.75,0.501,0.92,Multiple Sclerosis,425152,3178,9987,109420,115308,Affinity Capture-MS,17643375,Jeronimo C (2007)
1089,HSPA4,TARDBP,0.266,0.669,0.7,0.92,Alzheimers,1527436,3308,23435,109540,117003,Affinity Capture-Western,26936937,Chen HJ (2016)
1090,HSPA8,VCP,0.158,0.614,0.775,0.92,Parkinson's,438020,3312,7415,109544,113258,Affinity Capture-Western,16621797,Vij N (2006)
1091,ACO2,HSPD1,0.123,0.192,0.802,0.92,Friedreich ataxia,2463222,50,3329,106566,109561,Affinity Capture-MS,27684187,Rosenbluh J (2016)
1092,IL12RB1,IL6,0.101,0.203,0.72,0.92,Amyotrophic Lateral Sclerosis (ALS),2861960,3594,3569,109808,109783,Negative Genetic,30762338,Guo Y (2019)
1093,SMN1,HNRNPA1,0.072,0.292,0.889,0.92,Multiple Sclerosis,566564,6606,3178,112490,109420,Affinity Capture-MS,19928837,Fuller HR (2010)
1094,YWHAB,WWTR1,0,0.214,0.065,0.92,Parkinson's,3032273,7529,25937,113361,117434,Affinity Capture-MS,33961781,Huttlin EL (2021)
1095,HNRNPM,PCBP1,0.635,0.21,0.599,0.921,Multiple Sclerosis,3445360,4670,5093,110751,111126,Co-fractionation,35831314,Havugimana PC (2022)
1096,RBMX,SAFB,0.407,0.62,0.679,0.921,Multiple Sclerosis,747136,27316,6294,118134,112201,Co-fractionation,22939629,Havugimana PC (2012)
1097,APOF,APOA2,0.268,0.287,0.711,0.921,Alzheimers,277029,319,336,106816,106833,Co-purification,6816269,Koren E (1982)
1098,IFNA2,IFNA5,0.264,0.834,0.05,0.921,Amyotrophic Lateral Sclerosis (ALS),1197558,3440,3442,109663,109665,Affinity Capture-MS,26186194,Huttlin EL (2015)
1099,IFNA14,IFNA6,0.247,0.837,0.047,0.921,Amyotrophic Lateral Sclerosis (ALS),1197553,3448,3443,109671,109666,Affinity Capture-MS,26186194,Huttlin EL (2015)
1100,SRSF1,SNRNP200,0.212,0.843,0.415,0.921,Multiple Sclerosis,743400,6426,23020,112324,116661,Co-fractionation,22939629,Havugimana PC (2012)
1101,HSPA8,HTT,0.067,0.568,0.82,0.921,Parkinson's,565864,3312,3064,109544,109314,Reconstituted Complex,20026656,Thompson LM (2009)
